Län,2019
,14.7
Blekinges län,14.4
Dalarnas län,14.9
Gotlands län,14.5
Gävleborgs län,14.5
Hallands län,14.5
Jämtlands län,14.7
Jönköpings län,14.7
Kalmar län,14.5
Kronobergs län,14.5
Norrbottens län,14.9
Skåne län,15.3
Stockholms län,14.6
Södermanlands län,15
Uppsalas län,14.5
Värmlands län,14.6
Västerbottens län,14.5
Västernorrlands län,14.7
Västmanlands län,14.7
Västra Götalands län,14.3
Örebros län,14.7
Östergötlands län,14.8
Riket totalt,322.5
